FID,roof,road,watr,conc,Veg,dry,irr,H,W
1494,0.3389058562586369,0.10725209898621578,0.0,0.3643840070604903,0.1634271248243587,0.02603091287029833,0,13.1521192838,36.612759939
1495,0.4714980176472364,0.12789949576006449,0.0,0.32081365884022495,0.07056571958127879,0.009223108171195381,0,13.519111215,50.8165801808
1496,0.29128439301525066,0.4075784251332054,0.0,0.17352243007585857,0.12642321932094264,0.0011915324547426707,0,15.9424429474,27.4072998748
1497,0.4858744071756711,0.1894366949550127,0.0,0.2539006795706117,0.06953637769819261,0.0012518406005118843,0,12.9381853465,59.024648971
1498,0.4352390574736671,0.18770163397554263,0.0,0.2914794040111951,0.07550430268613037,0.010075601853464795,0,13.5042853413,39.377022028
1499,0.29673640128490697,0.30502604886455753,0.0,0.30779932967433693,0.08233438705616475,0.008103833120033817,0,14.7163112994,30.4207269042
1500,0.41000664260464426,0.13117286101162687,0.0,0.33289900918351706,0.1206445649093958,0.005276922290816019,0,12.1746017421,35.821557548
1501,0.39847591353445455,0.1902251290781855,0.0,0.2260534707689878,0.18334095918504806,0.0019045274333241203,0,5.56613645314,48.093773297
1502,0.33644347508983174,0.3378138885598348,0.0,0.24695083002924323,0.07717750570812051,0.001614300612969686,0,5.79961662821,51.2155900804
1503,0.3984392056671699,0.25403553594239925,0.0,0.24121472535129485,0.09724770642201835,0.00906282661711764,0,7.74572981363,51.4316631928
1504,0.33448922190041086,0.11617493014732354,0.0,0.3805211485800687,0.14513098392981982,0.02368371544237706,0,11.4638482057,32.3238308192
1505,0.2766426002843364,0.1714241908956597,0.0,0.4992241147009357,0.034566386976277425,0.01814270714279077,0,14.3805861747,31.5965043582
1506,0.3719487850849094,0.23539037909807525,0.0,0.31695960186810024,0.06042775038764008,0.015273483561274987,0,19.788433165,32.279546804
1507,0.3472621040096382,0.21850705801242842,0.0,0.32282543345087017,0.10530726321824939,0.006098141308813868,0,11.0516198683,49.9300588684
1508,0.48730078409708133,0.17499199190369857,0.0,0.21801984150932885,0.08817726443430343,0.031510118055587795,0,8.89866077711,32.0776403648
1509,0.37892486496398653,0.14624510516212447,0.0,0.3160411410107913,0.15804378254037152,0.0007451063227262071,0,20.5735804688,41.1409675356
1510,0.24145823419491869,0.3814969997330517,0.0,0.25967571582771387,0.11635232535196555,0.0010167248923501897,0,15.534149384,44.8220426926
1511,0.48328915176022175,0.04071281667974318,0.0,0.2908230771730602,0.18416752166908854,0.0010074327178863412,0,13.7539791825,67.0007439176
1512,0.3393388932345766,0.23505012499332673,0.0,0.3332203712429466,0.07602426054319292,0.01636634998595711,0,10.2219827492,29.026338877
1513,0.5036793210550018,0.1516089195099191,0.0,0.22250955230671376,0.12065851722200814,0.0015436899063572167,0,12.5888896667,31.2319208192
1514,0.36031930994141187,0.2821004447498166,0.0,0.30253433115755657,0.05333980185884996,0.0017061122923649735,0,12.3017625104,41.9651638912
1515,0.26600125345279824,0.38069218448968223,0.0,0.30107936213179826,0.05177688540191732,0.00045031452380399714,0,10.0610435156,43.3830303816
1516,0.3167008662872211,0.08474851672686419,0.0,0.5166688331584665,0.021353097928524342,0.06052868589892387,0,4.99909060899,61.102467508
1517,0.32614721066706287,0.2433771913534393,0.0,0.3060095082454316,0.12059872232952012,0.0038673674045461297,0,15.9202044335,42.3521530902
1518,0.352010957250473,0.2463756340464058,0.0,0.33002913421471103,0.06407205785056817,0.007512216637841978,0,12.3497895006,32.8387851832
1519,0.3796969443748085,0.2841192910132494,0.0,0.28014539984958636,0.049121194395699286,0.006917170366656454,0,10.380557783,27.311496111
1520,0.3485582837750635,0.26384033648556426,0.0,0.3232127686243924,0.05803772463707562,0.0063508864779042076,0,9.47003611371,40.2908913574
1521,0.3452883050804181,0.14471078965021786,0.0,0.3912481343326888,0.11435873271573846,0.004394038220936792,0,6.56143744639,40.2212913294
1522,0.4748538120297785,0.13181407722253302,0.0,0.27492159589211224,0.11722197589958704,0.0011885389559892381,0,15.7060254095,32.8861282212
1523,0.28422811781909335,0.4060418262423694,0.0,0.2537126012580368,0.051187243228187455,0.004830211452312977,0,14.9080850517,32.4628833134
1524,0.4223174989321993,0.22067726420174932,0.0,0.30873368121970696,0.04642611747664766,0.0018454381696967445,0,11.8878229415,60.2093668858
1525,0.439661095636026,0.11778551532033427,0.0,0.32592850510677807,0.11073119777158774,0.005893686165273909,0,14.837627834,34.8269351662
1526,0.29066747136175297,0.08820464015041608,0.0,0.31868710901684055,0.2731258922250206,0.029314887245969753,0,9.36292551218,31.632063004
1527,0.2532206175229447,0.10853771198046507,0.0,0.3418311212623428,0.2418004818740164,0.054610067360231,0,8.81369910464,39.6618997944
1528,0.2152026556478945,0.3274710989368123,0.0,0.33213473234597707,0.1182065091229862,0.006985003946329913,0,17.3725903136,41.3318115638
1529,0.17963037756082614,0.3396747582505838,0.0,0.3451968116466814,0.08349001202363875,0.0520080405182699,0,8.04646179886,51.601699142
1530,0.2663020770466384,0.19112635908673087,0.0,0.3183512687904476,0.18601498593327825,0.038205309142904896,0,15.6162448966,45.4431447516
1531,0.2779052058763442,0.22609020671210742,0.0,0.40692151254573483,0.08071615623200787,0.008366918633805695,0,8.1507172711,29.8098989116
1532,0.3880240855342875,0.20955529041453302,0.0,0.2858880496195433,0.09649998375108519,0.020032590680550976,0,7.56668014752,28.2948410058
1533,0.4606283585380857,0.3027703949582758,0.0,0.21395062731398196,0.017311776789962978,0.005338842399693597,0,9.69718174881,30.1242775676
1534,0.42329878480483757,0.1884562262793208,0.0,0.3146043942014183,0.07191819775067028,0.0017223969637530613,0,6.20188130135,47.4135570408
1535,0.4976835410718845,0.13324513149037903,0.0,0.28326486084998725,0.08238980572383539,0.003416660863913841,0,13.6028453756,30.7953276136
1536,0.4921571950220184,0.1232354559319555,0.0,0.25646680300944574,0.12294992536741749,0.005190620669162931,0,13.6014246479,24.2729244822
1537,0.2856015431145939,0.35875325254110213,0.0,0.209794413869462,0.14529835173635208,0.0005524387384898924,0,14.6182940741,40.8078119278
