FID,roof,road,watr,conc,Veg,dry,irr,H,W
1222,0.0030682185054686758,0.0,0.0,0.022183614644762543,0.3973122312986159,0.5774359355511528,0,0.446014002505,81.8409505572
1223,0.0,0.0,0.0,0.0805077167841507,0.5799723612546597,0.33951992196118963,0,9.750552,178.099975586
1224,0.0,0.07416499638848309,0.0,0.01410930238499467,0.8601193310216528,0.05160637020486939,0,0.0,340.250793458
1225,0.0,0.0173360058901542,0.0,0.010830358449328647,0.9351293348724535,0.03670430078806361,0,0.0,423.921539306
1226,0.0,0.06236543155968161,0.4097244642230857,0.21376726598736945,0.22365245747811485,0.09049038075174837,0,0.0,563.20147705
1227,0.0,0.0,0.6668764660798476,0.020881622035905892,0.2278537752281859,0.08438813665606057,0,0.0,563.20147705
1228,0.034712221860918845,0.0,0.5481767083197845,0.08242207460398569,0.24521763366934549,0.08947136154596554,0,0.0,359.135406494
1229,0.016195827129926628,0.06173831649800368,0.22132516380477676,0.11626480978671119,0.40893476377504684,0.17554111900553487,0,17.294352,170.051712036
1230,0.14059894369631967,0.24817794582843658,0.0,0.20552399444441863,0.3762977345677005,0.029401381463124595,0,5.0975508183,42.9138967196
1231,0.36548855293382604,0.11577597800007897,0.0,0.27708937700181396,0.21381405514380544,0.027832036920475582,0,13.3435297913,67.1382331626
1232,0.2399193548387097,0.24133621971160993,0.0,0.2284845584956147,0.24929156756354987,0.040968299390515835,0,44.105885024,41.5286376988
1233,0.021746047598365854,0.13571596126913493,0.0,0.11632962576731287,0.37153388253929176,0.35467448282589464,0,12.3203442783,39.4732285248
1234,0.09073024573791053,0.4027430668462861,0.0,0.11677196079342221,0.3057834347563525,0.08397129186602871,0,40.0106107124,58.2033749172
1235,0.18407311917868674,0.02811650756044875,0.0,0.1660581144171138,0.4784451722295775,0.14330708661417324,0,21.0833800742,64.3135299434
1236,0.2868950713648528,0.083714317573595,0.0,0.28377053597977997,0.333426256318763,0.012193818763009219,0,29.7333476297,58.3274612426
1237,0.18795135414949848,0.268931049451353,0.0,0.20629916873071844,0.29207705896417485,0.044741368704255234,0,34.0722596148,58.3274612426
1238,0.0,0.0024510315918475347,0.0,0.030097089632089947,0.6696422561560119,0.2978096226200506,0,11.0902237483,70.2577955898
1239,0.0,0.04925430299091236,0.0,0.006401968407980409,0.9041422453314144,0.040201483269692785,0,0.0,423.921539306
1240,0.0,0.039146824383608704,0.0,0.014275302102531487,0.8828914566378994,0.06368641687596038,0,0.0,423.921539306
1241,0.0,0.0,0.0,0.017404545422892385,0.9227101695190654,0.059885285058042234,0,0.0,423.921539306
1242,0.0,0.18737379129780843,0.02102201776090095,0.07815074947659656,0.5126289939976882,0.20082444746700584,0,0.0,447.352508544
1243,0.0,0.18527107489815106,0.11880868646772752,0.12547790661234723,0.34341957124783823,0.22702276077393596,0,0.0,442.116742656
1244,0.19895458090392543,0.14323448583206447,0.0,0.23562316633861924,0.31209380918780405,0.11009395773758682,0,0.0,412.697482262
1245,0.4751327737646469,0.07774228890828397,0.0,0.19386826614176153,0.23996072496332474,0.01329594622198288,0,16.6410711682,47.0680195678
1246,0.39137347932155864,0.06820160116617263,0.0,0.2835976797249838,0.2352400472597032,0.021587192527581702,0,20.0588601157,38.0411915336
1247,0.3408712122970645,0.30627063012706535,0.0,0.16466729495220542,0.15377133810892243,0.03441952451474227,0,12.5499428379,38.2427517284
1248,0.1216709916116184,0.13199283250625532,0.0,0.19768866895370374,0.4995752424367622,0.04907226449166036,0,16.1439223324,47.5287093508
1249,0.20706328590894424,0.12873992260748252,0.0,0.1467811537381236,0.41564935200596115,0.10176628573948852,0,34.1812560448,54.659925593
1250,0.050885068730356954,0.25828779937513635,0.0,0.2590398640712697,0.37118803010115736,0.0605992377220796,0,20.3610627094,64.0507278442
1251,0.14012580660136484,0.12482243164198505,0.0,0.15776426349751638,0.5110533401420547,0.06623415811707906,0,13.6391665729,60.241353755
1252,0.2635043054514049,0.226499943120216,0.0,0.2611966113578481,0.21860874369969333,0.03019039637083762,0,20.7122834462,67.8571085248
1253,0.5094178459767287,0.10428683172752193,0.0,0.26633877320805605,0.11318591280571733,0.0067706362819759955,0,14.4549316713,41.135353035
1254,0.044638090241830276,0.15839674278896373,0.0,0.09016754952437105,0.4942664543475132,0.2125311630973217,0,21.4856367531,42.0606381374
1255,0.0,0.023954653284247958,0.0,0.0020774626637017368,0.9512039998700135,0.022763884182036797,0,10.6699827827,221.28014312
1256,0.0,0.03927412503655836,0.0,0.009976370532336161,0.8200075205771347,0.13074198385397082,0,0.0,423.921539306
1257,0.0,0.18575954876222972,0.0,0.044253333797569724,0.6749556073952857,0.09503151004491488,0,0.0,423.921539306
1258,0.1347047544766176,0.16371630059842987,0.0,0.17052001652762108,0.45836060855072264,0.07269831984660882,0,0.0,373.91979386
1259,0.37165941722874957,0.14792334937958118,0.0,0.29013689600267384,0.15160454741689453,0.03867578997210088,0,21.8782422051,153.42727322
1260,0.264345537098766,0.2971592122489531,0.0,0.2838861085061143,0.13249194514340895,0.022117197002757685,0,38.3344583363,50.0481644358
1261,0.2133083263504119,0.1493803576029507,0.0,0.3047726043550218,0.30717503882194824,0.02536367286966735,0,16.6776772066,48.4866755692
1262,0.23483220136764357,0.1400743708421732,0.0,0.12955707103297479,0.4349858639691375,0.06055049278807095,0,9.22249212675,59.703988145
1263,0.14076216384340778,0.12584430837507485,0.0,0.1297507578465552,0.5603677586775171,0.043275011257445,0,22.6483386905,63.2741360274
1264,0.21969609040219507,0.06291987204783814,0.0,0.23652347105059124,0.3947598111359236,0.08610075536345192,0,28.7464665712,59.062230983
1265,0.275061218331844,0.17042951477943993,0.0,0.22825675722724476,0.25960286420555434,0.06664964545591699,0,35.8719285587,56.0974286398
1266,0.18333627357220453,0.13743372856333738,0.0,0.19055533374806177,0.4244969870289041,0.06417767708749222,0,23.4016040993,63.8613569596
1267,0.2954381387661875,0.46304992212362267,0.0,0.1488494954864198,0.08344726573834002,0.009215177885430038,0,19.2850639788,45.3546618786
1268,0.47458575464974007,0.2088465208498269,0.0,0.2002702432886101,0.09791908024414762,0.01837840096767528,0,11.8271102431,35.2715816802
1269,0.4662358522975219,0.16079635664744715,0.0,0.3110010863207153,0.06123784852789616,0.0007288562064195055,0,11.9296468381,35.3442631706
1270,0.25164225528655326,0.23025695782363456,0.0,0.17772800074278686,0.33359253499222397,0.006780251154801421,0,19.7337170967,25.8312074594
1271,0.0,0.14577941596317798,0.0,0.10017895731253003,0.6557590134368856,0.09828261328740637,0,21.7397484303,68.291008885
1272,0.12285743467845271,0.10678703411391112,0.0,0.18960658508050288,0.4657143122434957,0.11503463388363758,0,0.0,289.35802615
1273,0.23684149443856423,0.2695601916327781,0.0,0.27082288823278183,0.20299472638478822,0.019780699311087592,0,15.4178570291,179.075362976
