FID,roof,road,watr,conc,Veg,dry,irr,H,W
1,0.44239709454344484,0.32264221921892633,0.0,0.2265475875329163,0.005055290058006957,0.0,0.0033578086467055857,5.81931283119,30.658546173
2,0.3426709674123305,0.2037768535354591,0.0,0.18873817701330398,0.24586703450582065,0.0,0.018946967533085786,8.68235730722,47.5372715434
3,0.2771446950713989,0.1768657877564101,0.0,0.2759580036645774,0.21802145333701803,0.0,0.0520100601705956,9.05700799558,39.4118888788
4,0.33190211686900306,0.189986438662815,0.0,0.3097999238335857,0.10432476615981943,0.0,0.06398675447477684,20.9324608214,36.600963977
5,0.3309213352685051,0.18455732946298983,0.0,0.31175616835994197,0.07942409288824383,0.0,0.0933410740203193,6.39662971235,38.7441866258
6,0.2674495833836493,0.23019098399487242,0.0,0.28290200923337017,0.14016794701494617,0.0,0.07928947637316192,9.93230689894,38.9174819076
7,0.24870712977003515,0.20108863504949714,0.0,0.264542032505788,0.21640801521488234,0.0,0.06925418745979736,8.109637671,35.528322823
8,0.17994036588594278,0.1934671849818636,0.0,0.256357024424907,0.2920004830177463,0.0,0.07823494168954034,7.87218123568,43.40999208
9,0.15789779258932407,0.22954284188158247,0.0,0.3180041570385165,0.2574251907244627,0.0,0.03713001776611433,7.58417833176,55.471448938
10,0.2153419936742665,0.24276279428361766,0.0,0.3840839529796434,0.10190608004235734,0.0,0.05590517902011509,6.55182942872,49.5389763968
11,0.3004616556439028,0.2478751764880731,0.0,0.3224135208441703,0.10629458646057814,0.0,0.02295506056327562,5.21893608157,52.7949708088
12,0.2973010004551746,0.233773954724062,0.0,0.3022986316894409,0.09507807637643868,0.0,0.07154833675488384,5.69224932704,39.8447195688
13,0.3452178032502125,0.07685698229056843,0.0,0.3781890213599989,0.10909437134536874,0.0,0.09064182175385144,6.63034738186,39.1628894806
14,0.38862170741732405,0.051905709581610074,0.0,0.33916359169304294,0.17543024473616378,0.0,0.044878746571859175,5.56482467281,45.494918592
15,0.0974776528074205,0.3601399007410745,0.0,0.17960431128379367,0.3118132984665262,0.0,0.050964836701185116,7.0779987093,36.0663528442
16,0.3075813733140118,0.173775220153829,0.0,0.2975978151822539,0.14557788057815926,0.0,0.075467710771746,5.24460268944,57.6679761984
17,0.3450442730648386,0.22313949789026596,0.0,0.3853417026029729,0.029589687499274306,0.0,0.01688483894264821,5.42459387004,42.0414817302
18,0.32039619596140223,0.07767623869297136,0.0,0.3841219707613883,0.13693842241549484,0.0,0.08086717216874326,4.01818776308,39.4006991068
19,0.3427229719843653,0.042570387453231794,0.0,0.3178774725313007,0.24344548412493816,0.0,0.053383683906164,5.53118735141,42.4391860962
